key,flaming,smoldering,residual,total
gorup-21;dry;moist;dry,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
gorup-21;dry;moist;moderate,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
gorup-21;dry;moist;moist,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
gorup-21;dry;moist;wet,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
gorup-21;dry;moist;very wet,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
gorup-21;dry;wet;very dry,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;wet;dry,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;wet;moderate,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;wet;moist,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;wet;wet,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;wet;very wet,52698837.20379761,12802777.70659669,8590560.447563607,74092175.3579579
gorup-21;dry;very wet;very dry,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;dry;very wet;dry,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;dry;very wet;moderate,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;dry;very wet;moist,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;dry;very wet;wet,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;dry;very wet;very wet,51205891.5209376,12637323.807498796,8590560.447563607,72433775.776
gorup-21;moderate;very dry;very dry,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;very dry;dry,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;very dry;moderate,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;very dry;moist,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;very dry;wet,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;very dry;very wet,54105974.39048714,10782543.220616728,6213799.651351191,71102317.26245506
gorup-21;moderate;dry;very dry,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;dry;dry,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;dry;moderate,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;dry;moist,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;dry;wet,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;dry;very wet,53202216.61861944,10682385.358939482,6213799.651351191,70098401.62891012
gorup-21;moderate;moderate;very dry,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
gorup-21;moderate;moderate;dry,51620640.51785099,10507109.1010043,6213799.651351191,68341549.27020648
