key,flaming,smoldering,residual,total
rx;natural;western;spring;group-1;moderate;very wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moderate;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;moist;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moist;very wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;very dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moderate;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;wet;moist;very wet,[0.],[0.],[0.],[0.]
